exam_code,exam_name,target_risk,risk_priority,frequency_label,frequency_months,last_done,last_result,next_due,status,facility_recommendation,note
h_pylori,ピロリ菌検査,胃がん,高,一生に1回（陰性なら以降不要）,,,,,未実施,内科/消化器,陰性確定すれば胃がんリスク大幅減
gastric_endoscopy,胃内視鏡,胃がん,高,1〜2年に1回（ピロリ陰性なら3〜5年）,18,,,,未実施,消化器,
fecal_occult_blood,便潜血検査,大腸がん,高,年1回,12,,,,未実施,健診/内科,健診で実施可
colonoscopy,大腸内視鏡,大腸がん,高,5年に1回（ポリープ歴あれば3年）,60,,,,未実施,消化器,50歳前後で初回ベースライン推奨
low_dose_ct,低線量肺CT,肺がん,高,年1回（喫煙歴有なら半年）,12,,,,未実施,呼吸器,喫煙状況で頻度調整
chest_xray,胸部X線,肺がん,中,年1回,12,,,,未実施,健診/呼吸器,健診で実施可
abdominal_ultrasound,腹部エコー,膵臓がん/肝臓がん,高,年1回,12,,,,未実施,内科/消化器,膵臓・肝臓の同時スクリーニング
ca19_9_marker,CA19-9（腫瘍マーカー）,膵臓がん,中,年1回（リスク高なら半年）,12,,,,未実施,内科,糖尿病既往なら頻度UP
afp_marker,AFP（α-フェトプロテイン）,肝臓がん,中,年1回,12,,,,未実施,内科,肝炎ウイルス陰性なら年1で十分
hepatitis_virus,肝炎ウイルス検査(HBV/HCV),肝臓がん,高,一生に1回,,,,,未実施,内科,陰性確定すれば肝がんリスク大幅減
ecg,心電図,心疾患,中,年1回,12,,,,未実施,健診/循環器,健診で実施可
echocardiogram,心エコー,心疾患,中,数年に1回（リスク高なら年1）,36,,,,未実施,循環器,
carotid_ultrasound,頸動脈エコー,心疾患/脳血管疾患,中,数年に1回,36,,,,未実施,循環器/脳神経,動脈硬化の可視化
coronary_ct,冠動脈CT,心疾患,低,リスク評価後判断,,,,,未実施,循環器,胸痛・家族歴ある場合
brain_mri_mra,脳MRI/MRA（脳ドック）,脳血管疾患,中,3〜5年に1回,48,,,,未実施,脳神経外科/脳ドック,40〜50代で初回推奨
testosterone_check,テストステロン検査,男性更年期/QOL,中,半年〜年1回,9,,,,未実施,泌尿器/メンズヘルス,専用テンプレで管理
eye_exam,視力・眼底検査,緑内障/糖尿病網膜症,中,年1回,12,,,,未実施,眼科,
foot_clinic,足クリニック,整形/生活機能,低,必要時,,,,,随時,整形/フット,既受診中
dental_checkup,歯科定期検診,口腔/誤嚥性肺炎/心疾患,中,半年に1回,6,,,,未実施,歯科,口腔衛生は心疾患リスクにも影響
skin_check,皮膚科チェック,皮膚がん,低,年1回（気になる部位）,12,,,,未実施,皮膚科,
annual_health_check,定期健康診断,生活習慣病総合,高,年1回,12,,,,過去3年で3機関受診,健診機関,PDF流し込み後に正確な日付確定
psa_screening,PSA検査,前立腺がん,中,年1回（50歳以降）,12,,,,未実施,泌尿器,健診オプションで可
